ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
1024	10	882.76	387.88		504.43	2
1024	10	445.22	195.05		660.65	4
1024	10	447.16	196.17		512.00	8
1024	10	562.64	251.60		349.49	16
1024	50	447.16	196.21		527.84	2
1024	50	890.44	387.88		572.07	4
1024	50	445.22	194.68		485.31	8
1024	50	562.95	251.60		392.34	16
1024	100	898.25	392.34		556.52	2
1024	100	445.41	194.68		547.59	4
1024	100	443.48	193.61		474.07	8
1024	100	443.29	198.07		340.20	16
1024	200	447.36	196.21		522.72	2
1024	200	379.26	166.26		550.54	4
1024	200	445.22	195.08		467.58	8
1024	200	867.80	389.35		489.95	16
1024	300	447.16	196.17		533.33	2
1024	300	400.00	175.37		568.89	4
1024	300	447.16	196.17		492.31	8
1024	300	565.75	251.66		348.30	16

ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
8192	10	391.40	166.78		717.97	2
8192	10	906.29	386.42		1457.65	4
8192	10	460.74	196.88		1932.08	8
8192	10	901.21	393.28		2095.14	16
8192	50	431.18	184.21		783.17	2
8192	50	586.86	250.67		1224.51	4
8192	50	518.15	221.05		2214.05	8
8192	50	580.58	253.16		2155.79	16
8192	100	586.86	250.52		1059.77	2
8192	100	910.22	391.59		1615.78	4
8192	100	922.52	394.05		1969.23	8
8192	100	580.58	253.24		2053.13	16
8192	200	917.36	391.77		848.91	2
8192	200	907.20	387.35		1635.13	4
8192	200	912.35	389.37		2007.84	8
8192	200	906.19	395.75		2625.64	16
8192	300	917.46	391.77		1609.43	2
8192	300	917.46	391.77		2651.13	4
8192	300	906.19	384.24		2758.25	8
8192	300	901.21	393.30		3079.70	16

ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
131072	10	589.28	250.70		1164.47	2
131072	10	914.36	388.38		2293.91	4
131072	10	928.41	393.27		3349.65	8
131072	10	896.35	390.38		10691.03	16
131072	50	930.85	396.24		1812.92	2
131072	50	925.13	392.85		3519.75	4
