ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
1024	10	447.16	195.79	519.80	2
1024	50	898.25	392.34	556.52	2
1024	100	400.00	175.37	492.31	2
1024	200	418.13	182.89	463.35	2
1024	300	447.36	196.21	602.35	2
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
8192	10	917.46	391.59	891.40	2
8192	50	461.29	197.11	820.84	2
8192	100	461.26	197.02	864.14	2
8192	200	922.52	393.47	848.91	2
8192	300	927.75	396.34	851.56	2
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
131072	10	462.53	295.99	1811.41	2
131072	50	930.26	396.12	1819.94	2
131072	100	919.81	391.04	1807.14	2
131072	200	931.05	396.24	1820.72	2
131072	300	914.99	389.48	1806.39	2
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
1048576	10	930.46	392.70	1834.85	2
1048576	50	930.21	394.65	1835.98	2
1048576	100	926.38	392.08	1826.42	2
1048576	200	920.09	395.26	1836.59	2
1048576	300	909.86	392.03	1816.67	2
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
2097152	10	916.45	391.96	1823.73	2
2097152	50	912.87	392.08	1815.08	2
2097152	100	923.99	396.89	1824.68	2
2097152	200	908.43	389.40	1807.68	2
2097152	300	919.15	395.16	1827.93	2
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
4194304	10	918.36	390.86	1805.62	2
4194304	50	907.99	386.51	1806.67	2
4194304	100
