ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
1024	10	447.16	196.17	613.17	2
1024	50	400.00	175.64	467.58	2
1024	100	447.36	196.17	538.95	2
1024	200	447.36	196.21	559.87	2
1024	300	898.25	392.49	559.56	2
8192	10	461.00	196.92	757.12	2
8192	50	461.03	196.97	837.71	2
8192	100	586.86	250.83	1050.26	2
8192	200	922.63	395.75	848.91	2
8192	300	912.25	389.72	1590.99	2
131072	10	589.25	250.18	779.45	2
131072	50	920.52	391.01	1806.39	2
131072	100	922.53	390.85	1814.42	2
131072	200	931.11	396.27	1818.95	2
131072	300	930.78	396.18	1809.41	2
1048576	10	923.28	392.32	1823.46	2
1048576	50	930.22	394.59	1836.78	2
1048576	100	920.99	391.18	1825.94	2
1048576	200	909.51	391.92	1815.98	2
1048576	300	923.55	397.07	1842.11	2
2097152	10	918.55	391.45	1823.91	2
2097152	50	907.26	390.07	1801.30	2
2097152	100	921.99	392.82	1815.57	2
2097152	200	923.31	395.66	1819.38	2
2097152	300	908.16	389.89	1807.54	2
4194304	10	898.01	389.55	1731.78	2
4194304	50	908.89	386.52	1810.34	2
4194304	100	908.74	386.67	1809.20	2
4194304	200	920.74	391.17	1821.63	2
4194304	300	913.22	392.45	1810.21	2
8388608	10	909.81	389.11	1791.89	2
8388608	50	919.23	390.02	1802.35	2
8388608	100	914.45	392.01	1807.66	2
8388608	200	916.81	394.83	1816.72	2
8388608	300	910.59	391.57	1804.39	2
1024	10	568.89	249.21	547.59	4
1024	50	447.16	196.21	550.54	4
1024	100	447.36	196.17	582.15	4
1024	200	882.76	387.88	553.51	4
1024	300	447.36	196.21	539.23	4
8192	10	461.03	196.88	1476.04	4
8192	50	911.23	388.98	1494.89	4
8192	100	912.35	389.54	1266.15	4
8192	200	912.25	389.54	1625.40	4
8192	300	912.25	389.54	2497.56	4
131072	10	462.73	196.98	1781.84	4
131072	50	913.91	389.19	3524.39	4
131072	100	910.17	387.26	3531.03	4
131072	200	920.26	391.72	3544.40	4
131072	300	925.72	393.97	3555.94	4
1048576	10	914.73	388.77	3637.76	4
1048576	50	914.00	390.73	3642.94	4
1048576	100	919.24	390.44	3639.26	4
1048576	200	928.43	394.48	3656.39	4
1048576	300	914.71	389.98	3642.55	4
2097152	10	920.34	390.30	3580.18	4
2097152	50	922.21	395.05	3506.14	4
2097152	100	917.82	392.65	3587.29	4
2097152	200	911.68	390.30	3530.52	4
2097152	300	923.19	392.62	3564.06	4
4194304	10	906.22	391.37	3490.07	4
4194304	50	916.93	390.22	3303.66	4
4194304	100	917.35	391.09	3286.81	4
4194304	200	916.87	394.02	3458.38	4
4194304	300	917.01	392.64	3572.10	4
8388608	10	908.91	387.73	3467.85	4
8388608	50	918.05	390.16	3493.45	4
8388608	100	907.10	392.43	3453.07	4
8388608	200	900.94	386.64	3440.73	4
8388608	300	912.11	395.28	3468.82	4
1024	10	882.76	384.96	483.02	8
1024	50	890.44	392.34	556.52	8
1024	100	447.16	196.21	494.69	8
1024	200	447.16	196.17	497.09	8
1024	300	447.36	196.17	471.89	8
8192	10	455.90	194.82	1941.23	8
8192	50	586.86	250.67	2027.72	8
8192	100	911.23	389.35	2012.78	8
8192	200	912.25	389.35	2208.09	8
8192	300	586.82	250.83	2536.22	8
131072	10	915.05	389.34	3976.82	8
131072	50	914.74	389.36	6229.66	8
131072	100	930.65	396.22	6735.46	8
131072	200	908.21	386.51	6701.02	8
131072	300	915.06	389.48	6704.45	8
1048576	10	922.28	393.08	7185.52	8
1048576	50	909.63	387.35	7155.61	8
1048576	100	922.17	393.77	6656.82	8
1048576	200	920.41	393.04	7194.89	8
1048576	300	912.32	389.14	7195.88	8
2097152	10	912.01	391.84	4139.36	8
2097152	50	901.46	386.26	5605.44	8
2097152	100	911.17	390.64	6353.87	8
